indicator_code,insee_code,year,value,source_file
business_creations_count,92000,2017,21108.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,92000,2022,37995.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,93000,2012,16077.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,93000,2017,18887.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,93000,2022,39854.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,94000,2012,13444.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,94000,2017,14431.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,94000,2022,29842.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
business_creations_count,95000,2012,10655.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2011]
business_creations_count,95000,2017,11315.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2015]
business_creations_count,95000,2022,24886.0,INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_crea_etablissements) [aligned_from=2021]
catnat_communes_drought_count,75000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,75000,1995,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,75000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,75000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,75000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,75000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,75000,2022,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,77000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,77000,1995,36.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,77000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,77000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,77000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,77000,2017,2.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,77000,2022,45.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,78000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,78000,1995,5.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,78000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,78000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,78000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,78000,2017,12.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,78000,2022,100.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,91000,1988,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,91000,1995,6.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,91000,2002,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,91000,2007,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,91000,2012,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,91000,2017,0.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
catnat_communes_drought_count,91000,2022,6.0,"INSEE - Indicateurs territoriaux de developpement durable (ODD_DEP) (variable=nb_com_catnat,sous_champ=sec)"
